price_rub,months,ytm_annual_pct,total_income,figi,ticker,name,issuer_name,lot,price_pct,for_qual,junk_score
1058.8,10.3,20.05,183.04,TCS00A10AYF7,RU000A10AYF7,"Новые Технологии, 001Р-04","Новые Технологии, 001Р-04",1,105.88,,55.06
849.2,13.2,42.7,400.1,TCS00A108FS8,RU000A108FS8,Антерра БО-02,Антерра БО-02,1,84.92,,100.0
935.4,14.5,23.38,264.05,TCS00A106FW4,RU000A106FW4,МГКЛ выпуск 3,МГКЛ выпуск 3,1,93.54,,59.23
25.16,16.0,2191.93,735.32,TCS10A106TJ2,RU000A106TJ2,AzurDrive выпуск 1,AzurDrive выпуск 1,1,3.7,,70.0
947.2,10.2,26.33,212.36,BBG01LLS9GH4,RU000A107SX3,ЭкономЛизинг 001P-07,ЭкономЛизинг 001P-07,1,94.72,,62.91
108.19,16.0,452.19,652.29,TCS98A106TJ2,RU000A106TJ2,AzurDrive выпуск 1,AzurDrive выпуск 1,1,15.91,,70.0
68.11,13.5,912.55,697.69,TCS89A106DJ6,RU000A106DJ6,Мосрегионлифт БО-02,Мосрегионлифт БО-02,1,9.73,,100.0
950.3,5.9,28.88,136.01,TCS99A1074F4,RU000A1074F4,Мани Капитал 001P-01,Мани Капитал 001P-01,1,95.03,,36.1
1039.1,23.2,26.0,522.98,TCS00A10B7S9,RU000A10B7S9,Служба защиты активов обб02,Служба защиты активов обб02,1,103.91,,32.5
1000.0,17.6,21.07,309.23,TCS30A107209,RU000A107209,Сибстекло БО-П04,Сибстекло БО-П04,1,100.0,,26.34
88.6,19.6,21.65,31.35,TCS50A10BS68,RU000A10BS68,Уральская Сталь БО-001Р-04,Уральская Сталь БО-001Р-04,1,88.6,,47.06
1009.6,18.4,20.57,318.34,TCS00A10DCE0,RU000A10DCE0,МКАО Воксис 001Р-01,МКАО Воксис 001Р-01,1,100.96,,25.71
990.0,22.0,28.09,510.94,TCS10A10AYU6,RU000A10AYU6,МФК Мани Мен обб01,МФК Мани Мен обб01,1,99.0,,35.11
979.3,7.3,22.01,131.6,TCS00A107BH2,RU000A107BH2,ИЛС БО-01-001P,ИЛС БО-01-001P,1,97.93,,27.51
200.34,13.5,251.44,565.46,TCS97A106DJ6,RU000A106DJ6,Мосрегионлифт БО-02,Мосрегионлифт БО-02,1,28.62,,100.0
1000.0,9.5,21.81,172.6,TCS02A107RZ0,RU000A107RZ0,ГК Самолет БО-П13,ГК Самолет БО-П13,1,100.0,,57.26
831.9,19.1,39.15,517.12,TCS99A108FE8,RU000A108FE8,Урожай БО-04,Урожай БО-04,1,83.19,,68.94
19.04,19.4,2543.53,780.96,TCS19A107CJ6,RU000A107CJ6,Глобал Факторинг Нетворк Рус БО-04-001P,Глобал Факторинг Нетворк Рус БО-04-001P,1,2.38,,70.0
960.0,6.1,25.01,122.26,BBG01338VXJ4,RU000A103WB0,Славянск ЭКО выпуск 1,Славянск ЭКО выпуск 1,1,96.0,,31.26
1000.0,12.1,23.17,233.48,TCS10A109VK0,RU000A109VK0,ВСЕИНСТРУМЕНТЫ.РУ 001P-03,ВСЕИНСТРУМЕНТЫ.РУ 001P-03,1,100.0,,58.96
1000.0,6.7,34.99,194.46,TCS10A0JWYJ0,RU000A0JWYJ0,Самолет 01,Самолет 01,1,100.0,,43.74
972.5,8.2,25.58,169.61,TCS00A107EP9,RU000A107EP9,Смартфакт БО-02-001P,Смартфакт БО-02-001P,1,97.25,,31.97
921.6,14.0,24.56,263.35,TCS00A104XE0,RU000A104XE0,Лизинг-Трейд выпуск 4,Лизинг-Трейд выпуск 4,1,92.16,,60.7
920.8,15.7,26.43,319.2,TCS00A10CCG7,RU000A10CCG7,Делимобиль 001P-07,Делимобиль 001P-07,1,92.08,,33.04
1035.0,15.0,20.07,260.44,TCS00A10C2E9,RU000A10C2E9,Аэрофьюэлз 002Р-05,Аэрофьюэлз 002Р-05,1,103.5,,55.09
1000.0,18.8,22.33,349.04,TCS10A105DL4,RU000A105DL4,Новые технологии,Новые технологии,1,100.0,,27.91
999.5,19.1,20.75,329.3,TCS00A10DA74,RU000A10DA74,Эталон Финанс 002P-04,Эталон Финанс 002P-04,1,99.95,,25.94
1000.4,13.9,23.85,276.95,TCS99A107GU4,RU000A107GU4,МФК Быстроденьги 002P-04,МФК Быстроденьги 002P-04,1,100.04,,59.81
1036.4,9.4,21.85,177.3,TCS00A10ASE2,RU000A10ASE2,РОЛЬФ БО 001Р-07,РОЛЬФ БО 001Р-07,1,103.64,,57.31
44.9,17.5,1454.96,955.1,TCS10A109S83,RU000A109S83,МОНОПОЛИЯ оббП01,МОНОПОЛИЯ оббП01,1,4.49,,70.0
1075.2,23.0,23.66,486.88,TCS00A10B5A1,RU000A10B5A1,БИАНКА ПРЕМИУМ БО-02,БИАНКА ПРЕМИУМ БО-02,1,107.52,,29.58
1000.1,16.3,25.27,343.94,TCS00A1099W6,RU000A1099W6,Простая еда 001P-01,Простая еда 001P-01,1,100.01,,31.59
983.6,21.5,25.03,441.44,TCS00A10CB66,RU000A10CB66,Сегежа Групп 003P-06R,Сегежа Групп 003P-06R,1,98.36,,31.29
854.5,16.3,29.09,336.92,TCS00A106UW3,RU000A106UW3,Делимобиль 1Р-03,Делимобиль 1Р-03,1,85.45,,56.36
1086.0,23.2,22.18,466.24,TCS00A10B7N0,RU000A10B7N0,Биовитрум 001Р-01,Биовитрум 001Р-01,1,108.6,,27.73
999.9,17.6,21.08,309.33,TCS00A107209,RU000A107209,Сибстекло БО-П04,Сибстекло БО-П04,1,99.99,,26.35
929.9,10.3,22.65,181.07,TCS99A107WD7,RU000A107WD7,Мани Капитал 001P-03,Мани Капитал 001P-03,1,92.99,,58.31
989.7,6.2,23.24,119.64,BBG01K2753C1,RU000A1075R6,Регион-Продукт 001P-04,Регион-Продукт 001P-04,1,98.97,,29.05
